monitoring_location_name,activity_start_date,activity_depth_height_unit,sample_collection_equipment_name,characteristic_name,method_speciation,result_value,result_unit,result_detection_quantitation_limit_measure,result_detection_condition,result_analytical_method_instrument
442 LA CB,2017-05-15,meta,Pump/Submersible,CHLA,Chla,3.97,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-05-15,epi,Pump/Submersible,CHLA,Chla,2.09,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-05-15,meta,Pump/Submersible,DIC,DIC,,uM,,Not Reported,LI-820 LiCor gas analyzer
442 LA CB,2017-05-15,epi,Pump/Submersible,DIC,DIC,,uM,,Not Reported,LI-820 LiCor gas analyzer
442 LA CB,2017-05-15,epi,Pump/Submersible,DOC,FWI-DOC,530,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-05-15,meta,Pump/Submersible,DOC,FWI-DOC,528,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-05-15,epi,Pump/Submersible,NA,UA-ICP,0.6,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-05-15,meta,Pump/Submersible,PARTP,PARTP,7,ug/L,0.2,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-05-15,epi,Pump/Submersible,PARTP,PARTP,4,ug/L,0.2,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-05-15,meta,Pump/Submersible,PH,pH,6.587,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-05-15,epi,Pump/Submersible,PH,pH,6.857,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-05-15,epi,Pump/Submersible,TDN,TDN/NH3,274,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-05-15,meta,Pump/Submersible,TDN,TDN/NH3,283,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-05-15,epi,Pump/Submersible,TDP,TDP,3.21,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-05-15,meta,Pump/Submersible,TDP,TDP,3.13,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-05-29,epi,Pump/Submersible,CA,UA-ICP,,mg/L,0.0053,Below Detection/Quantification Limit,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-05-29,meta,Pump/Submersible,CA,UA-ICP,,mg/L,0.0053,Not Reported,
442 LA CB,2017-05-29,meta,Pump/Submersible,CHLA,Chla,3.47,ug/L,0.5,,
442 LA CB,2017-05-29,epi,Pump/Submersible,CHLA,Chla,2.27,ug/L,0.5,,
442 LA CB,2017-05-29,meta,Pump/Submersible,DIC,DIC,174.61,uM,,,
442 LA CB,2017-05-29,epi,Pump/Submersible,DIC,DIC,144.01,uM,,,
442 LA CB,2017-05-29,epi,Pump/Submersible,DOC,FWI-DOC,549,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-05-29,meta,Pump/Submersible,DOC,FWI-DOC,516,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-05-29,meta,Pump/Submersible,NA,UA-ICP,,mg/L,0.016,Below Detection/Quantification Limit,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-05-29,epi,Pump/Submersible,NA,UA-ICP,,mg/L,0.016,Below Detection/Quantification Limit,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-05-29,epi,Pump/Submersible,PARTP,PARTP,6,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-05-29,meta,Pump/Submersible,PARTP,PARTP,6,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-05-29,meta,Pump/Submersible,PH,pH,6.787,SU,,,
442 LA CB,2017-05-29,epi,Pump/Submersible,PH,pH,7.113,SU,,,
442 LA CB,2017-05-29,meta,Pump/Submersible,TDN,TDN/NH3,278,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-05-29,epi,Pump/Submersible,TDN,TDN/NH3,257,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-05-29,meta,Pump/Submersible,TDP,TDP,1.52,ug/L,0.5,,
442 LA CB,2017-05-29,epi,Pump/Submersible,TDP,TDP,1.78,ug/L,0.5,,
442 LA CB,2017-06-12,epi,Pump/Submersible,CA,UA-ICP,1.87,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-06-12,epi,Pump/Submersible,CA,UA-ICP,1.88,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-06-12,epi,Pump/Submersible,CHLA,Chla,1.9,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-06-12,epi,Pump/Submersible,CHLA,Chla,1.98,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-06-12,meta,Pump/Submersible,CHLA,Chla,3.71,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-06-12,epi,Pump/Submersible,DIC,DIC,134,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-06-12,epi,Pump/Submersible,DIC,DIC,136,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-06-12,meta,Pump/Submersible,DIC,DIC,159,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-06-12,meta,Pump/Submersible,DOC,FWI-DOC,539,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-06-12,epi,Pump/Submersible,DOC,FWI-DOC,537,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-06-12,epi,Pump/Submersible,DOC,FWI-DOC,561,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-06-12,epi,Pump/Submersible,NA,UA-ICP,0.67,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-06-12,epi,Pump/Submersible,NA,UA-ICP,0.67,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-06-12,meta,Pump/Submersible,PARTP,PARTP,6,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-06-12,epi,Pump/Submersible,PARTP,PARTP,5,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-06-12,epi,Pump/Submersible,PARTP,PARTP,5,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-06-12,epi,Pump/Submersible,PH,pH,7.169,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-06-12,meta,Pump/Submersible,PH,pH,6.84,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-06-12,epi,Pump/Submersible,PH,pH,7.14,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-06-12,epi,Pump/Submersible,TDN,TDN/NH3,247,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-06-12,meta,Pump/Submersible,TDN,TDN/NH3,246,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-06-12,epi,Pump/Submersible,TDN,TDN/NH3,251,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-06-12,epi,Pump/Submersible,TDP,TDP,1.795,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-06-12,meta,Pump/Submersible,TDP,TDP,1.621,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-06-12,epi,Pump/Submersible,TDP,TDP,1.621,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-06-26,epi,Pump/Submersible,CA,UA-ICP,1.85,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-06-26,epi,Pump/Submersible,CHLA,Chla,1.45,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-06-26,meta,Pump/Submersible,CHLA,Chla,3.03,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-06-26,meta,Pump/Submersible,DIC,DIC,153,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-06-26,epi,Pump/Submersible,DIC,DIC,136,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-06-26,meta,Pump/Submersible,DOC,FWI-DOC,535,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-06-26,epi,Pump/Submersible,DOC,FWI-DOC,545,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-06-26,epi,Pump/Submersible,NA,UA-ICP,0.65,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-06-26,meta,Pump/Submersible,PARTP,PARTP,7,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-06-26,epi,Pump/Submersible,PARTP,PARTP,3,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-06-26,meta,Pump/Submersible,PH,pH,6.87,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-06-26,epi,Pump/Submersible,PH,pH,7.137,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-06-26,epi,Pump/Submersible,TDN,TDN/NH3,233,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-06-26,meta,Pump/Submersible,TDN,TDN/NH3,223,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-06-26,meta,Pump/Submersible,TDP,TDP,2.236,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-06-26,epi,Pump/Submersible,TDP,TDP,2.51,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-07-10,epi,Pump/Submersible,CA,UA-ICP,1.97,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-07-10,epi,Pump/Submersible,CA,UA-ICP,1.97,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-07-10,meta,Pump/Submersible,CHLA,Chla,2.44,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-07-10,epi,Pump/Submersible,CHLA,Chla,0.98,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-07-10,epi,Pump/Submersible,CHLA,Chla,1.02,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-07-10,epi,Pump/Submersible,DIC,DIC,143,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-07-10,meta,Pump/Submersible,DIC,DIC,163,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-07-10,epi,Pump/Submersible,DIC,DIC,142,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-07-10,epi,Pump/Submersible,DOC,FWI-DOC,563,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-07-10,epi,Pump/Submersible,DOC,FWI-DOC,537,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-07-10,meta,Pump/Submersible,DOC,FWI-DOC,533,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-07-10,epi,Pump/Submersible,NA,UA-ICP,0.66,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-07-10,epi,Pump/Submersible,NA,UA-ICP,0.65,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-07-10,epi,Pump/Submersible,PARTP,PARTP,1,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-07-10,epi,Pump/Submersible,PARTP,PARTP,2,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-07-10,meta,Pump/Submersible,PARTP,PARTP,3,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-07-10,epi,Pump/Submersible,PH,pH,7.178,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-07-10,meta,Pump/Submersible,PH,pH,6.93,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-07-10,epi,Pump/Submersible,PH,pH,7.203,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-07-10,meta,Pump/Submersible,TDN,TDN/NH3,220,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-07-10,epi,Pump/Submersible,TDN,TDN/NH3,228,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-07-10,epi,Pump/Submersible,TDN,TDN/NH3,219,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-07-10,meta,Pump/Submersible,TDP,TDP,1.54,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-07-10,epi,Pump/Submersible,TDP,TDP,2.142,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-07-10,epi,Pump/Submersible,TDP,TDP,1.789,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-07-31,epi,Pump/Submersible,CA,UA-ICP,1.83,mg/L,0.0053,,University of Alberta
442 LA CB,2017-07-31,epi,Pump/Submersible,CHLA,Chla,0.89,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-07-31,meta,Pump/Submersible,CHLA,Chla,3.88,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-07-31,meta,Pump/Submersible,DIC,DIC,132,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-07-31,epi,Pump/Submersible,DIC,DIC,125,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-07-31,meta,Pump/Submersible,DOC,FWI-DOC,622,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-07-31,epi,Pump/Submersible,DOC,FWI-DOC,604,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-07-31,epi,Pump/Submersible,NA,UA-ICP,0.64,mg/L,0.016,,University of Alberta
442 LA CB,2017-07-31,meta,Pump/Submersible,PARTP,PARTP,5,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-07-31,epi,Pump/Submersible,PARTP,PARTP,2,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-07-31,meta,Pump/Submersible,PH,pH,6.96,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-07-31,epi,Pump/Submersible,PH,pH,6.965,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-07-31,meta,Pump/Submersible,TDN,TDN/NH3,268,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-07-31,epi,Pump/Submersible,TDN,TDN/NH3,289,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-07-31,epi,Pump/Submersible,TDP,TDP,3.453,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-07-31,meta,Pump/Submersible,TDP,TDP,3.538,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-08-14,epi,Pump/Submersible,CA,UA-ICP,1.87,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-08-14,epi,Pump/Submersible,CA,UA-ICP,1.88,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-08-14,epi,Pump/Submersible,CHLA,Chla,1.27,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-08-14,meta,Pump/Submersible,CHLA,Chla,3.69,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-08-14,epi,Pump/Submersible,CHLA,Chla,1.24,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-08-14,epi,Pump/Submersible,DIC,DIC,121,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-08-14,meta,Pump/Submersible,DIC,DIC,145,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-08-14,epi,Pump/Submersible,DIC,DIC,122,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-08-14,epi,Pump/Submersible,DOC,FWI-DOC,590,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-08-14,meta,Pump/Submersible,DOC,FWI-DOC,591,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-08-14,epi,Pump/Submersible,DOC,FWI-DOC,594,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-08-14,epi,Pump/Submersible,NA,UA-ICP,0.64,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-08-14,epi,Pump/Submersible,NA,UA-ICP,0.64,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-08-14,epi,Pump/Submersible,PARTP,PARTP,3,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-08-14,epi,Pump/Submersible,PARTP,PARTP,3,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-08-14,meta,Pump/Submersible,PARTP,PARTP,4,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-08-14,epi,Pump/Submersible,PH,pH,7.057,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-08-14,meta,Pump/Submersible,PH,pH,6.921,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-08-14,epi,Pump/Submersible,PH,pH,7.02,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-08-14,epi,Pump/Submersible,TDN,TDN/NH3,264,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-08-14,epi,Pump/Submersible,TDN,TDN/NH3,270,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-08-14,meta,Pump/Submersible,TDN,TDN/NH3,252,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-08-14,epi,Pump/Submersible,TDP,TDP,2.589,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-08-14,meta,Pump/Submersible,TDP,TDP,3.112,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-08-14,epi,Pump/Submersible,TDP,TDP,2.38,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-08-28,epi,Pump/Submersible,CA,UA-ICP,1.89,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-08-28,epi,Pump/Submersible,CHLA,Chla,1.7,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-08-28,meta,Pump/Submersible,CHLA,Chla,4.1,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-08-28,meta,Pump/Submersible,DIC,DIC,143,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-08-28,epi,Pump/Submersible,DIC,DIC,121,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-08-28,epi,Pump/Submersible,DOC,FWI-DOC,606,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-08-28,meta,Pump/Submersible,DOC,FWI-DOC,547,uM,13,,"Shimadzu TOC-VCPH/CPN	"
442 LA CB,2017-08-28,epi,Pump/Submersible,NA,UA-ICP,0.64,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-08-28,meta,Pump/Submersible,PARTP,PARTP,9,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-08-28,epi,Pump/Submersible,PARTP,PARTP,3,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-08-28,epi,Pump/Submersible,PH,pH,7.049,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-08-28,meta,Pump/Submersible,PH,pH,6.91,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-08-28,meta,Pump/Submersible,TDN,TDN/NH3,266,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-08-28,epi,Pump/Submersible,TDN,TDN/NH3,280,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-08-28,epi,Pump/Submersible,TDP,TDP,5.924,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-08-28,meta,Pump/Submersible,TDP,TDP,5.751,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-09-11,epi,Pump/Submersible,CA,UA-ICP,1.94,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-09-11,epi,Pump/Submersible,CHLA,Chla,2.01,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-09-11,meta,Pump/Submersible,CHLA,Chla,4.17,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-09-11,epi,Pump/Submersible,DIC,DIC,146,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-09-11,meta,Pump/Submersible,DIC,DIC,164,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-09-11,epi,Pump/Submersible,DOC,FWI-DOC,644,uM,13,,Shimadzu TOC-VCPH/CPN
442 LA CB,2017-09-11,meta,Pump/Submersible,DOC,FWI-DOC,563,uM,13,,Shimadzu TOC-VCPH/CPN
442 LA CB,2017-09-11,epi,Pump/Submersible,NA,UA-ICP,0.65,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2017-09-11,meta,Pump/Submersible,PARTP,PARTP,3,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-09-11,epi,Pump/Submersible,PARTP,PARTP,3,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-09-11,meta,Pump/Submersible,PH,pH,6.781,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-09-11,epi,Pump/Submersible,PH,pH,7.068,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-09-11,epi,Pump/Submersible,TDN,TDN/NH3,273,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-09-11,meta,Pump/Submersible,TDN,TDN/NH3,265,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-09-11,meta,Pump/Submersible,TDP,TDP,3.098,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-09-11,epi,Pump/Submersible,TDP,TDP,3.098,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-09-25,epi,Pump/Submersible,CA,UA-ICP,1.88,mg/L,0.0053,,University of Alberta
442 LA CB,2017-09-25,meta,Pump/Submersible,CHLA,Chla,3.59,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-09-25,epi,Pump/Submersible,CHLA,Chla,3.44,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-09-25,meta,Pump/Submersible,DIC,DIC,204,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-09-25,epi,Pump/Submersible,DIC,DIC,141,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-09-25,epi,Pump/Submersible,DOC,FWI-DOC,592,uM,13,,Shimadzu TOC-VCPH/CPN
442 LA CB,2017-09-25,meta,Pump/Submersible,DOC,FWI-DOC,543,uM,13,,Shimadzu TOC-VCPH/CPN
442 LA CB,2017-09-25,epi,Pump/Submersible,NA,UA-ICP,0.63,mg/L,0.016,,University of Alberta
442 LA CB,2017-09-25,meta,Pump/Submersible,PARTP,PARTP,6,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-09-25,epi,Pump/Submersible,PARTP,PARTP,4,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-09-25,epi,Pump/Submersible,PH,pH,7.032,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-09-25,meta,Pump/Submersible,PH,pH,6.546,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-09-25,meta,Pump/Submersible,TDN,TDN/NH3,265,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-09-25,epi,Pump/Submersible,TDN,TDN/NH3,266,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-09-25,meta,Pump/Submersible,TDP,TDP,4.013,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-09-25,epi,Pump/Submersible,TDP,TDP,3.505,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-10-10,epi,Pump/Submersible,CA,UA-ICP,1.8,mg/L,0.0053,,University of Alberta
442 LA CB,2017-10-10,epi,Pump/Submersible,CA,UA-ICP,1.8,mg/L,0.0053,,University of Alberta
442 LA CB,2017-10-10,epi,Pump/Submersible,CHLA,Chla,3.38,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-10-10,epi,Pump/Submersible,CHLA,Chla,3.25,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2017-10-10,epi,Pump/Submersible,DIC,DIC,155,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-10-10,epi,Pump/Submersible,DIC,DIC,152,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2017-10-10,epi,Pump/Submersible,DOC,FWI-DOC,588,uM,13,,Shimadzu TOC-VCPH/CPN
442 LA CB,2017-10-10,epi,Pump/Submersible,DOC,FWI-DOC,604,uM,13,,Shimadzu TOC-VCPH/CPN
442 LA CB,2017-10-10,epi,Pump/Submersible,NA,UA-ICP,0.59,mg/L,0.016,,University of Alberta
442 LA CB,2017-10-10,epi,Pump/Submersible,NA,UA-ICP,0.58,mg/L,0.016,,University of Alberta
442 LA CB,2017-10-10,epi,Pump/Submersible,PARTP,PARTP,7,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-10-10,epi,Pump/Submersible,PARTP,PARTP,3,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2017-10-10,epi,Pump/Submersible,PH,pH,6.766,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-10-10,epi,Pump/Submersible,PH,pH,6.771,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2017-10-10,epi,Pump/Submersible,TDN,TDN/NH3,291,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-10-10,epi,Pump/Submersible,TDN,TDN/NH3,288,ug/L,4.4,,Autoanalyzer II
442 LA CB,2017-10-10,epi,Pump/Submersible,TDP,TDP,2.579,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2017-10-10,epi,Pump/Submersible,TDP,TDP,2.579,ug/L,0.5,,Shimadzu 1601 scanning spectrophotometer
442 LA CB,2018-05-07,epi,Pump/Submersible,CA,UA-ICP,1.87,mg/L,0.0053,,Thermo ICAP-6300 ICP-OES
442 LA CB,2018-05-07,epi,Pump/Submersible,CHLA,Chla,0.74,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2018-05-07,meta,Pump/Submersible,CHLA,Chla,1.19,ug/L,0.5,,Turner Designs Trilogy Fluorometer
442 LA CB,2018-05-07,epi,Pump/Submersible,DIC,DIC,199,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2018-05-07,meta,Pump/Submersible,DIC,DIC,260,uM,,,LI-820 LiCor gas analyzer
442 LA CB,2018-05-07,meta,Pump/Submersible,DOC,FWI-DOC,531,uM,13,,Shimadzu TOC-VCPH/CPN
442 LA CB,2018-05-07,epi,Pump/Submersible,DOC,FWI-DOC,509,uM,13,,Shimadzu TOC-VCPH/CPN
442 LA CB,2018-05-07,epi,Pump/Submersible,NA,UA-ICP,0.71,mg/L,0.016,,Thermo ICAP-6300 ICP-OES
442 LA CB,2018-05-07,meta,Pump/Submersible,PARTP,PARTP,5,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2018-05-07,epi,Pump/Submersible,PARTP,PARTP,5,ug/L,0.2,,Cole-Parmer 2100 Spectrophotometer
442 LA CB,2018-05-07,epi,Pump/Submersible,PH,pH,6.405,SU,,,Fisher Scientific Accumet pH meter
442 LA CB,2018-05-07,meta,Pump/Submersible,PH,pH,6.222,SU,,,Fisher Scientific Accumet pH meter
